Ciezar;Ceny;Pojemnosc
[45 33 36 13 41];[ 1  6  5  8 18];56
[ 5 11 49 13  4];[ 6 13  5 12  2];57
[26 44 27 21 43];[11 16  8  4 10];87
[20 21  2  4 47];[15 14  9  3 13];20
[10 39 17  7 16];[ 3 19  6  2  3];88
[38 30 44 15 37];[10  6  6 12 16];86
[ 7 32 22 26 48];[ 7 12 16  3 11];90
[26 11  5 17  6];[ 8  7  3 16 14];91
[ 6 44 39  9 44];[14  2  1 18 14];69
[26  3 21 45 14];[12 17 13 15 19];81
[42 38 19 35  2];[ 7 18  5  8  7];43
[17 30 26 47  2];[11  2  9  1  1];82
[ 1 32  3 34 25];[17 17 14  2  7];20
[41 43 30  4 46];[ 7 19 18 12  3];82
[39 27  2  4 42];[12  7 14  6 13];86
[20 25 14  5 12];[18  3 15  3  6];51
[32 42 22 31 26];[12 14 12 16  4];89
[ 7 23 41  7 44];[ 8 12 10  3 17];45
[26 29  5 20 19];[ 1 11  2 11  2];32
[21 42 33 25  2];[17 11 17 15  1];98
[30 14  3 29  2];[ 1 10 14  1  1];78
[23  1 42 12 45];[10  9  5 19 12];76
[16 13 12 39 38];[16 17  8  4  5];81
[ 8 23  4 29 43];[ 4  1 18  3  7];54
[26  5 27  7 48];[13 15 11  4 13];37
[47 37 18 41 20];[14  3  1 19 12];96
[37 45 31 44 27];[18 19  9 14 11];97
[46 41 26 42 45];[ 3 19  4 11 18];32
[46 36 31 14 20];[11  5 14  6 13];24
[19 46 40 37  6];[17 15  4 10 17];57
[15  4 46  3 40];[12 13  1 19  5];21
[16 24 35 19 29];[13 11 10 15 16];93
[45 32 35 33 34];[18  5 13 11 12];54
[48 26 36 30 12];[11 14  1 19  3];53
[38 24 20  9  7];[ 7  5  8 10 17];72
[16 30 41 27 39];[ 4  7 11  4 15];97
[12  2  8 11 47];[ 4 13 14 14  1];85
[15 13 19 46 21];[ 7  5 18  2 11];86
[ 2  2  6 40 13];[11 11  1  5  4];19
[16 46  3 13 29];[16 13  3  3  5];89
[ 3 23 34 47  7];[ 1 18 18 15  5];61
[ 7  1 39 35 22];[15  6  9  3 16];84
[47  1  8  6  9];[ 2 13  4 11  8];34
[39 13 20 30 49];[19  5  2  7 10];46
[33 15 28 47 33];[17 11  7 16 16];61
[10 25 12 22 30];[ 6  9 12 10  9];46
[34 40 30 45 34];[19  8  5  5 19];40
[46 15 46 15  3];[ 2 13 15 13 12];27
[40 37 25 44 36];[19  5  1  2  8];30
[19  2 45 39 23];[ 2 19  9 12 11];16
[30 45 48 10 25];[17 15 15  8  1];39
[17  6 45 15 15];[ 7 12  2  1  4];89
[ 4  4  2 44  1];[ 8 12  4  1  8];33
[ 8 26 15 28 36];[16  3  1 13 15];70
[31 10  8 38 25];[ 8 16  5  4  8];97
[20 30 49 15 24];[18  2  5 17  4];88
[27 14 20  5 26];[ 5 13  6  9  2];53
[ 3 35  5 42 12];[ 5 12  7 11  7];82
[34 30  9 45 44];[16 11 18 17 12];57
[43 40 19  8 16];[ 9 16  2 18 16];41
[46 17 41  2  5];[11  3 15 14  1];34
[44 16 33 48 42];[16  5 13  7 14];82
[19 19  3 15 34];[17  2  6  9 10];42
[41 46 46  5 45];[ 3  2  6 18 14];19
[ 7 19  9 45 14];[16  4  4 15  5];73
[12  1 36 35 36];[ 5 19 11  8  4];94
[48  2 13 16 27];[11 18  9 10  3];50
[38  2 23 39 11];[ 4 15 10  3  2];26
[20 16 10 31 44];[13  9 14 19 12];99
[33 13 49  1  8];[ 4 17  7 16 14];86
[47 10 36  6 16];[13  3  9  1 11];94
[25 40  5 20 12];[ 6 10  2 10 19];36
[14 44 29 15 49];[ 3 12 15 17 18];77
[32 41 49 33 49];[11 18 15 17 19];86
[45 49 30 20  8];[11  5 15 12  4];91
[32 43 19 33  1];[14 17  9  3  4];77
[39 33 32 13 47];[ 1 18  7  5  1];59
[23 11 20 27 11];[ 3  5 13 13 19];39
[36  1  3 17 47];[10  3  2 11 19];66
[38 39 39 32 23];[ 4 11  9 19  6];39
[39 46 29  1  9];[11 11  3  7  5];92
[28 43 19  2  4];[ 4 19 14 14  5];35
[ 8  3 46 34 22];[14  6 18 13  5];62
[41 12 41 47 41];[ 7 13  9  1  8];56
[45 13 16 42 37];[15  8  3 17  9];61
[34  2 34 12 33];[ 3 17 10  9  9];64
[48 40 14 22 35];[8 7 5 1 5];19
[40  6 40 47 13];[10  6 19  7  2];29
[ 2  8 14 37 37];[ 3  6 11 14  1];56
[22 34 33 38 23];[17 15  7 16 17];73
[43 21 19 34 49];[ 7  4 17 16  5];29
[ 3 37 28 25  1];[14  7  5 15 16];66
[26  6 22 20 13];[ 3 12  7  4 14];84
[25  4 29 14 31];[14  4 19  3 11];96
[31 37 26 25  2];[12  1  4 13 12];44
[ 6 42  1 16 10];[ 5  5 13 15  7];36
[18  7  8 14 38];[19  3 13 10  4];27
[31  6 42 37 40];[ 9  7  6 13  5];18
[28 46 47 21  2];[ 2  6  1 14  8];26
[ 1 26 35 39 23];[ 9 12  1 10  4];80
[23 19 21 38  8];[10 11 15  1  8];59
[20 37  2 37 11];[14  8  7  8  6];30
[ 6 41 11 24  7];[ 8 11 16 18  8];47
[30 22 40 33 16];[ 7  8 13 14  2];66
[ 8 18 46 42 29];[19 11  5 19 19];39
[47  5 27 21  8];[17  5  2  1 19];22
[14  7 46 36 44];[16 13 11  6 14];86
[ 7 44  8 15 29];[ 2 15  4 12 15];38
[19 10 43 31  3];[ 3 16  2 11 17];41
[46  8 33 41 35];[14 13 16  1 16];57
[33 13 43  1  9];[10 17  6  1  1];44
[39 40 15 41 23];[ 6 14  7 14  6];65
[19  3 27  9  3];[12  1 13  3 10];28
[44 28 15 15 13];[13 16  6  3  6];58
[22  3 34 34  5];[ 2 18 12 18  6];16
[38 29 11 44 36];[14  3 11  2 17];88
[ 6 46 38 23  2];[17 15 12 13  7];91
[ 6 38 49 16 11];[12 10 16 19  9];98
[46 41 45 34  1];[18  7  2  2  2];46
[10  6  4 44 46];[ 8 14 18 17  3];69
[44 34 21 36 29];[ 3  7 13 13 17];62
[19 46 29 12 24];[14 19  6 18  4];74
[13 39  8 19 18];[12 16 13  6  8];45
[41 11  7 43 15];[ 5 15 15 17  9];60
[44 45  3 24 21];[ 2 14  5 17  6];44
[ 7  4 10 45 16];[ 6  4  1  6 13];23
[37 18 25 18 14];[ 7  7 12 12 17];58
[22 26 28 37 45];[ 8  5 11  6  5];36
[13  5 31 47 12];[ 4  6 11  3  1];47
[38 31 34 27  9];[19  5  4  7 16];78
[15 26  8  2 33];[ 5 18 10 10 15];24
[14 17 40 49 47];[15  9 14 11 13];33
[19  8 27  7 14];[12 10  5 11  2];47
[ 3  1 22 31 11];[ 8  4  4 15  3];48
[42  9 49 41 29];[12  6 19 15  5];77
[23 43 39 29 25];[ 3 11 12 11  9];90
[10 10 41 17 46];[19  6 10  5  8];78
[ 1 23 24 13 41];[15  5 17 18  9];16
[11 38 23 33 47];[19 14 12  6 14];66
[28 13 44 40 33];[14 13  4  8 15];42
[37 45 48 10 35];[11  8  5  8 17];40
[35 29 10 43 40];[ 7  8  5  3 18];57
[41 12 37 14  3];[ 1 19  1 15  2];99
[28 40  9 26 40];[11  7 13  6  4];43
[41 21 26  3 14];[ 6 14  5 10 14];34
[33 25 30  5  7];[13 11 15  2 13];95
[25 12 39 44 37];[16  8  8  3 13];20
[23 26 40 27  4];[15  9  2  4  1];77
[10 13 21 48 34];[ 8 11 15 10  3];42
[14 17 21  6  8];[ 6 16 15 16  8];18
[46 43 47 48  9];[ 3 16  1  5  5];63
[39 35  4 15 19];[ 1 18  2 13  3];25
[26  8 28 39 40];[12 15  5  3 11];51
[ 8 34 15 29 32];[ 3 16  6 10 16];34
[25 28 43 18 33];[10  9  5  2  4];90
[40 11 16 31 36];[14 17  2  3 17];71
[38 15  7 26 37];[7 3 7 2 8];69
[49 48  7 20 26];[17 12 11 12 10];97
[22  2 22 13 43];[ 2 15  1 16 17];82
[37  3  6 21 39];[12 15  4 12 16];21
[22 42 24 34 28];[10 11  8 17 10];76
[ 2  6 29 20 42];[11  6 13 12 15];85
[17  8 23 38 48];[17 16 11 16 15];51
[16  8 34  9  3];[ 6  8 18  6 11];21
[31 41 40 22  2];[ 2 10  4  5 15];72
[20 16  7 21  8];[16 12  5 17  3];39
[23 33  3 32 33];[ 1 18 14 12 15];47
[13 41 12 20 27];[ 7 14 11  5  7];48
[44 43 18 38  7];[ 2 11 12  3  1];83
[20 28 14 27  1];[ 6  5 16  9 17];64
[39  7 16 17 13];[18  9  7 10 14];20
[38  1  6 47 30];[16  3 12 15 18];38
[22  2  2  1 49];[19 18 12  5 12];97
[ 7 12 29  2  6];[ 1  6 19  5 11];65
[32 21 49 14 48];[ 6 14  5 19  6];79
[ 9 25 13  8 29];[10  9  6 19  3];96
[36 37 34 31 30];[15  1 15 16 14];53
[25  1 43  5 36];[10 19 18  5 19];63
[ 4 41 18 40 16];[ 1  8  7 17 13];90
[41  7 15 26 43];[13  5 16 19 14];83
[29 32 18  1 28];[ 3  5  4 16 10];45
[48  8 17 46 11];[ 9  9 11 16  5];56
[ 6 39 26 45 23];[ 9 15 13 13 18];99
[45  1 36 22 27];[17  3  6 15  6];32
[20 43  1  9  5];[ 5 15 17  1  9];96
[43  9 41 30 28];[16  8 15  2 18];46
[ 2 42 23 26 17];[ 1  5  6 17 14];76
[12  5 46 30 26];[ 7 10 10 18  7];81
[44 33 22 21 22];[ 5  9 18 18 12];52
[ 1 35 20  9 10];[ 2  9 13 18 15];24
[ 1 29 39 36 26];[14 11 16 10 17];68
[17 44 49 28 12];[18  9 18  8 15];81
[24 35 14 44 47];[ 6  2  5  6 13];17
[38 27 17  7 24];[ 5  6 16  2 17];37
[41  7 32 34 30];[11  3  7 11  4];33
[16 14  7 44 19];[ 8 18 10  1 10];36
[ 3 36 17  5 49];[15  9  5 17 12];38
[24 47 31 28 35];[ 4 10 18 19  7];23
[16 36 17 45  6];[ 3  4  2 15 19];60
[ 8  4  9  4 19];[ 3 19 19 12 12];57
[43 48 36 43 44];[18  8  3  4 19];41
[46 32 39 14 45];[ 8  2 12  8 19];84
[43 23 31  2  8];[19  1 17  5  1];73
[42 45 38  3 43];[ 9 10 15 17 12];40
[40 13 49  2  2];[15  9 19  7  9];49
[14 33 38 18 37];[ 6 17 14 17 17];64
[16 24 22 37 39];[ 7  1  7 19  7];49
[ 8  9 29 45  3];[19  3 18 10  3];51
[15 15 41  2 22];[ 9  6  2 13  4];28
[13 23 29 19 41];[13  1  1  3 19];56
[ 7 40 43  5 36];[ 5 10 15  3  6];32
[ 2 48 36 47 21];[6 8 9 2 5];33
[27 12 24 23 49];[19  5 11 16 14];69
[30 46 14 45  2];[12 18 19  2  3];53
[12 33  3 17 14];[ 1 13  5 15  9];26
[41 43 20 17 16];[ 4 11  3  7  8];54
[ 1 19 42  7 27];[ 7 18  1  8 10];89
[15 22  2 49 23];[11 15  5  3  5];57
[10 32 16 10 20];[16  1 12 11  3];66
[49  8 45 19 37];[2 2 2 8 2];70
[ 8 15  3 34 14];[ 7  2  5  6 15];73
[10 24 25 31 39];[ 9  5 18 15 19];40
[43 14 44 15 39];[ 5  3  9 11  9];94
[ 8 41 35 29 12];[ 8 16 11 17 11];88
[ 3 11 28  4 46];[13  4 19 15 15];54
[33 13 32 29 25];[10  6  9 14  9];34
[10 29 49 44 35];[ 7 15 12  2  5];86
[46 16  8 36 32];[19 15 10 16  8];15
[ 9 32 46 31 43];[ 5  2  6  6 12];67
[35  3 10 11 44];[17 11 13 16 14];38
[20 21 21 49 39];[ 5 16  3  4 18];23
[ 7 25 43 12 29];[ 2 16 15 17  3];16
[ 7 31 37  5 46];[10  8 15 17  5];63
[26 30 37 25 10];[11  8 11 17  4];32
[42 38 34 24 11];[15  3  8 19 19];15
[20 18 29 22 13];[10 11  8  5 15];99
[20 17  7 11 25];[19  3 16 16  6];76
[26  4 21 12  7];[19 11 19  4 11];82
[ 3 42 26 13  2];[ 9  8 16  1 14];66
[43 32 22 11 11];[19  2  9  4  7];17
[27 34 36 27 42];[11 12 16 10  9];51
[27 31 30  5 30];[19 10 11 15 10];38
[26  3 23 42 42];[18  6 18  6  4];22
[48 20 47  4 12];[12  4  5 13 16];54
[47 45 37 41 31];[17  5 16 11  4];28
[ 2 43 48 40 49];[ 9 16 10 13 16];37
[ 1 33 31 21 48];[15  7  2  3  3];41
[48 23 25 24 41];[14  3  9 11 11];27
[42 29  5 34  7];[16  2 12 17 12];84
[21 18 15 27 38];[ 4 11  9  2 18];21
[ 1 26 31 34  8];[18 18 13  9  3];18
[43 49 33 13  8];[13  6  3 19 18];85
[37 48 27 34  5];[13 13 12  8 10];23
[41  8 20 23 25];[10  2 14 18  9];75
[12 40 48 49 40];[ 1  8  6 15  1];65
[25 19 32 19  1];[ 5  1  7  7 11];25
[46 29 32 29  5];[ 4 15  2  7  8];37
[26 33 25 48  5];[ 5  9  3  7 12];41
[ 7 31 33 28 41];[12 17  1  9 19];66
[36 11 14 23 37];[18  9  7 18 16];26
[ 1 46 46 36 38];[8 8 7 8 3];97
[ 7 45 24  2 23];[17 10  7  7  2];31
[27 18 49 22 19];[15 19 16 19  4];49
[43 23 37 29 27];[10 13  2  8 19];59
[ 2 46 19 37 24];[12 18 10 11  9];63
[47 24 44 48 25];[ 3 12 14 11 15];36
[ 7 47  4  7 38];[ 8  8 17 19 13];43
[38 46 42 26  1];[16 10  8  9  8];18
[22 24 17  6 41];[ 5 12 16  5  1];19
[20 42  3 24 16];[ 7 13 13  6  7];22
[10 41  5 27 41];[ 8  4  4 10  3];57
[36 25 20  6  3];[ 5 17  5  2 14];60
[28  5 44  4 45];[15  4 15  5 19];44
[ 9 23 13 49  5];[17  2  1 18  1];79
[ 8 30  7 42  8];[ 4  9  9  1 19];25
[28 12 34 30 26];[ 2 17  9  5 12];47
[12 35 13 17  4];[16  4 11  4  9];41
[26 13 16 24 21];[10  7 18 10  5];68
[18 27 39  4 46];[ 1  5  7  2 11];88
[45 49 31 22 17];[15 18 19  2  9];86
[46 45 26 45  1];[10  6 10  4  4];84
[47 16 34 19 39];[13 15 16  5 15];74
[14 24  5 17 34];[ 1  1 15 16 19];67
[25 25 14 48 12];[10  7  6 16  8];86
[ 3 17 45 33 48];[10  3  5  2 16];81
[28 30 23 16 37];[ 4  5 15  4  8];75
[33 35 29 47  2];[ 6  1  7  1 11];52
[47 32 27  3 11];[14  1  7 18  2];61
[11 38 12 32  8];[15 10 17 10  7];82
[44 20 38 32 46];[1 3 6 9 4];48
[29 24 27 14 17];[ 7 10  8  6 13];32
[41 49 42 19 41];[17  4  8  5  9];76
[44 19 20 39 34];[ 5 16  3 16 17];70
[44 29 14 36 19];[10 11  7  3  2];82
[31  1 42 17 14];[11  1  8 13  5];95
[31 44 22 31 44];[ 7 15 10 16  7];28
[22 40  8 35 43];[19  1 11 16 17];34
[19 45 49 35 34];[18 15 19  1  8];28
[46 13 30  4 29];[10 16 13  7 17];16
[13  6 12 16  6];[ 9 17 14 15 19];81
[26 47 36 40 30];[11 10 12 12  8];85
[10 39 14 40 43];[ 9  3 10 17  5];96
[44  9 23 28 18];[ 4 10  8 12 15];91
[20 39  5 47 29];[16 19 12 13  7];81
[45  5  2 15 13];[18 14 11  4  3];27
[42 28 32 45 25];[18 13 14  9 17];85
[19  8  1 20 32];[ 5  8  5 10 12];29
[34 29 14 37 15];[10  6 19  4  1];46
[23 20 29  3  2];[18  6  1 18 16];34
[33 45  2 22 31];[10 18 17  8  8];85
[16  5 29 35  2];[ 8 14 16 13 19];28
[26 13 16 20 30];[14 11 12 10 10];55
[11 35 14 14 16];[10  2 16  6 13];79
[44 46 32 16  9];[14 16 13  6  4];56
[38 38 48  9 43];[18  9 10  3 18];78
[ 4 43 34 29 32];[15 11 19 13 14];93
[25  8 35 12 47];[ 9 13 14  8 14];55
[30  4 17 27 42];[13  4  1  1 13];67
[36 45 10 34 12];[ 6  6 17  2 15];37
[35  9 15 28 49];[2 3 2 7 3];56
[15 38 37 31 18];[ 5 11 15  7  3];55
[43 40 11 11 41];[15  9  3 12  2];27
[30 48 37  6 10];[ 3  4  1 16 18];55
[ 7 48 25 39 35];[ 6  3 18 13 17];42
[46 11 40 17 17];[11  4  1 10 11];71
[16 19 14 16 33];[ 7  2 18 15 15];93
[49 48 15 11 37];[12  7  8 19 19];52
[38  5 31 34 34];[2 1 5 8 7];46
[ 5 36 12 42 30];[ 8 18  5  6 18];18
[40 43 22 30 11];[13 14  8  7  9];75
[ 6 28 18 17  2];[ 7 13  7  2 18];46
[36  6 41 14 12];[10 18 16  5 12];17
[49 33 38 33 15];[ 2 10 17 18  4];99
[29  7 22 13  1];[ 9  9 11  6  7];86
[ 6 43  1 43 14];[ 5  7 18 14 18];28
[ 8 18 21 41 44];[15 17  5 12  7];56
[38 43  7 44  6];[19 19  7  2 15];82
[28 30 16  9 41];[ 1  2 10 19  4];77
[37  3 46  7 38];[18  3  9  6 11];27
[22  1 42  4 15];[ 3  1  8 10 17];52
[18 46 22 47 10];[17 19 17 14  7];61
[30 46 28 13 34];[5 5 4 5 6];52
[20 49  6 30 31];[ 7  4 16  3 12];50
[35  5 48 39 34];[ 7 13  5 19  4];23
[13 11 40 23 49];[ 8  5  5 19  8];98
[44 11 16 49 13];[13  9 12 14  6];69
[16 28 47 26 18];[15 18  5  2 12];77
[17 47 38 23 17];[10 17  3  4 17];72
[41 45 34 32 41];[ 4  7 11  6  5];79
[14 34 22 48 34];[10  6 11  3 14];79
[25 41  9 23 32];[ 1  7  3 11  5];39
[34 30 16  7  7];[10 18  2 19  9];87
[ 3 13 16  2 25];[19  4 14 14 12];44
[12 36  9  1  4];[ 4  5  4 19 18];71
[ 2 21 11 23 21];[7 4 7 2 3];35
[34  2 41 37 18];[11 13  3 18 11];58
[10 32 13  8 13];[18 19  9  5 17];46
[35 19 15 13 33];[ 7  6  3 16 14];72
[31 32 17 10 49];[14  5 16  3 17];42
[29 29 14 23 47];[ 3  5  3  2 10];38
[ 8 36 44 12 12];[14  4  5  4  6];88
[43  3 22 42 32];[ 1 11 12 15 18];31
[47 13  5 23 21];[12 16  9 15  2];23
[46 15  6 15 11];[10 10 16  2 11];81
[47 49 29 20 43];[16 11  5 12  5];15
[ 8 40  7 22 10];[17  5  4 11 11];31
[28 37  8 32  5];[ 8  4  3  8 16];15
[18 45 23 28 39];[16 16 16 19 16];81
[19 34 23 18 27];[ 9  8  1  1 14];36
[ 1 15  8  8  3];[ 1  6 16  4 14];72
[23  5 27 14 37];[ 5 14 17  2 19];81
[12 46  5 39 13];[19 13  8 13  6];90
[ 4 15 26 43 44];[ 9 16  5 18 10];37
[23 13 40 18 48];[ 6  4  5 12  5];61
[14 43 29  5 38];[ 5  8  7 17  3];41
[21 36 10 26 31];[11  9 16  6  7];92
[32 30 36 21 18];[ 1 12 11  4  7];74
[40 36 40  1 37];[ 1 17 18  5  7];26
[15 15 13 12 23];[12 15 11  7 13];32
[30 35 38 13 30];[ 1 14 17  5 15];46
[ 8 33 14  8  2];[15 14  5 11 15];95
[ 3 33 19 23 19];[1 6 5 2 8];46
[31 20 39 48 44];[18 12 17  3 14];43
[ 1  6 27 44 16];[17  6  1 18 10];81
[43 46 21 32 43];[ 3 13  5 17 15];49
[10 23 23 47 18];[11 16 13 13 11];46
[25  3 41 20 43];[ 2 17 12 13 16];62
[29 14 42  9 31];[15 15  3  8 19];72
[38 17 25 17 32];[15 13  6 16 18];67
[24 22 32 16  3];[ 6  9 17  9  4];72
[35 48 33  4 30];[ 9  8  2 16  2];30
[ 6 39 10 21 32];[ 1 13 19 19  5];15
[ 4 24  7 47 14];[ 8  1 14 14 12];25
[41 38 16  9 11];[ 8  6 12 18  3];81
[27 15 36 41 40];[17  1 12  9 18];72
[38 45  8 48 27];[15  8 10  7  1];67
[10 35 45 33 10];[2 2 3 8 2];67
[ 6 17 31  1 21];[15  3  8 18  9];86
[11  5 49 22  6];[14  5  5  6 16];23
[ 8 42  7 31 26];[10  1 15 12  1];16
[14  7 31  5 46];[10 12  6 15  1];23
[43 32 28 31 40];[11  2 12  7 17];91
[37 13  2 46  7];[12  2 15 10  9];91
[37 20  1 24 30];[15  3 16  1  3];64
[24 22  1 23 44];[19  8  1  5  3];52
[13  2 47  7 46];[11 13  2 10 14];33
[18 48  1 24 41];[ 6 16  2 13 18];67
[ 9 24 25 49  8];[ 4  3  6 16 14];90
[12 24 12  7 27];[16 18  4 16  3];41
[40 42 26  8 36];[ 1  1 10  9 11];66
[ 9 23 47 24 36];[15  9 19 15 14];88
[33 40 36 44 16];[12  7 16  6  2];41
[12 23 34 45 12];[ 5  4 16 17  5];59
[32 32 15 39 24];[ 2 17  1 16  4];18
[21 11 39 25 21];[15 16 15  8 19];20
[29 27 16 21 25];[ 6  4  2 12  8];16
[20 48  1 27 16];[10 12 13 17  3];31
[27  8 45 49 28];[ 6  5  9 16 17];76
[31 37 47 44 48];[1 4 7 4 9];62
[12 45 37 20 12];[ 5 11 11 19  6];70
[25 11 31 41  5];[18 15 11  6  8];78
[ 4 37 33  3 36];[ 1  9  5  1 10];20
[23 27 11 21 15];[ 7 17 12  5 12];27
[ 7 24 45  4 14];[13 14  3  5 10];20
[44 15 49 16 14];[ 7  5  7 10 17];83
[ 2 23  7  4 19];[10  3  1  7 14];94
[45 19 19 43 20];[ 4  7 10 13  2];95
[34 43 25 47 38];[19 14  8  5 11];18
[19 18 10 13  2];[16 11  9 14 16];41
[35 29 36 37 12];[ 6 18 15  3  7];57
[ 2 11 12 18 26];[ 1 19  3  5  1];94
[29 39 14 36 24];[ 1 17 10 17  4];40
[38  6 38 28 13];[ 6  8 14 16 18];29
[29 41  8 13 35];[13 15 14 12  4];47
[ 7  3 32 41 29];[13 19 14  2  3];44
[ 1 30 32 16 11];[ 3 10  9 12 16];53
[27 42 44 18 29];[12  8 19 18  3];31
[18 19 44 20 37];[11 16 15 12  9];99
[17 17 33 10 36];[15 16  6 12 13];59
[32 36 38 34 30];[ 4  1 14  8  4];78
[17 27 45 26 31];[ 4 11  8 19  3];83
[37 48 42 25 26];[ 9  4  8 12 16];90
[36 33 47 31  3];[ 9  6 16  9  5];73
[39 39 11 13  2];[11 19 11 12 12];99
[26 35 32 13 14];[18  9 13  4 16];85
[35  1 40 49 11];[ 7 18 16 13  6];49
[ 2 21 24 48 26];[16  1 19  2  7];24
[25 16  3 17  9];[ 2  5 10 12 19];16
[29 33 36 35 31];[ 5  8 19  5 15];60
[ 1 29 46 14 20];[ 9 12  7  1 18];79
[ 4 22 29 38 25];[15 17 18 19  7];46
[25 21 16 46  2];[11  7 10  4 10];60
[28 16 33 34 25];[ 5 12  2 13 19];76
[12  2 49 11  3];[10  1  7  7 17];20
[ 4 30 13 37 39];[ 8  8  4 12 13];73
[25 21 10  5 36];[ 7 15 19  6  1];17
[ 3 31 25 21 48];[2 2 1 4 8];44
[46 44  7 17 18];[ 5  2  9 17  8];37
[42 14 33 10 32];[ 5 14 13 18  8];84
[ 7 29 45 49 38];[ 4  9 10  5  3];90
[32  7  9  8 10];[ 2  2 11 18  5];62
[45 15 28 12 15];[ 4 19 13 13 11];45
[49  4 47  2 39];[ 2 12  1 12  3];65
[17 48 37  1 32];[15 14  2  9 15];62
[18 12 19 29 38];[11 19 12  7 15];34
[24  9 31  1 42];[ 6  9  5  6 10];83
[15 29 22 35 37];[ 7  8  1 15 12];23
[47 15 47 49 34];[ 4  5  5 18 12];80
[29 41 43  4 32];[15  7  2  1  9];77
[ 3 41 13 24 20];[19 13 18 10 16];75
[ 1  7 13 14 42];[14 18 14  5  7];20
[42 39 27  5 47];[18  8 18 18  7];16
[41 14 40 25 26];[ 6  5  7 17  8];85
[ 4 33 29 42 47];[10 15 15 12 17];65
[11 42 47 17 19];[17  6 17 11 10];45
[11 27 48 24 45];[11 16  6 12  1];53
[19 36  7 20 27];[14 12  7 17  5];18
[12 12  6 27 47];[ 7  7  9 17  5];22
[32 33 12 20 13];[17  1 17 15  4];67
[ 1 39 22  7 48];[12 16  8 15 15];71
[33  4  1 22 42];[10 12 14 14 16];15
[28 13 30 17 36];[ 9 17 11  4  8];96
[14 27 44 18 23];[ 4  3  5  8 19];83
[30 26 43  9  3];[15  4  3 16 18];39
[26 33 20 39 24];[16  3 18  6 16];96
[12  1 30 23 22];[15  2  6  5  7];33
[18 36  2 45 32];[15 17 16  1  3];83
[24  4 49 20 36];[14 10 12 12  6];42
[12 15 22 48 12];[13 13  3 13 17];29
[28 27 22  6 38];[ 1 18  7 10 17];94
[33 27 13 44 28];[ 4 16  9  5  4];62
[20 14 10  9 36];[ 1  9 15 15 15];58
[ 6 22 34 17 37];[12 10 19  1  1];91
[43 32 29  7 48];[ 8  2  9 12 11];16
[48  7 23 16 30];[15  4 12 15  5];85
[24 30 32 31 32];[ 8 10 15 12  8];94
[22 47 49 24  1];[ 4  1 10  7 15];64
[38 13 49 17 41];[ 4  6  2 19 10];64
[30 48 46 46 30];[14 12 15  8  9];88
[18  2 13 28 45];[17 13  8  4 15];29
[14 21 43 33 28];[ 9 15  5 15  9];99
[13 14 33 26  8];[ 5 10 11  2  3];52
[18 15 11 44 25];[6 2 3 6 8];78
[ 5 40 12  2 37];[ 3 14 12 13 11];94
[44  7 24 37 40];[13  2  5 12 18];22
[38  5 12 24 49];[ 9 16 14  3  4];80
[27 47 13 14  6];[ 7 17  8  7 12];52
[34 18 23  4 46];[17 19 19  9 16];56
[24  4 35 21 21];[ 1  9 17  2 14];15
[23 18 43  2 28];[15 14  7 19  4];61
[ 2 25 44 32 44];[19 11 17  1 14];66
[ 8 37 37 42 37];[ 5 17  9  3  9];62
[38 32  5  8 30];[ 2  7  5  9 15];66
[23 19 21 24 42];[ 8 13  4 14  4];41
[ 4 48 38 48 13];[ 5 10 13  7 18];93
[36 48 38 19 11];[16 17  9  5  1];97
[49 48 32 33  6];[ 1  8  9 17 14];83
[48 11  7 21 42];[ 3 14  8 15 17];99
[46 35 47 23 45];[19 14 12  9  1];40
[11 13 22 20 15];[ 9 16 16 10 19];22
[ 4 13 22 35  5];[ 7  3 11 11  9];44
[ 6  4 31 41 23];[ 7 13 12 10  5];63
[28 34 11 12 26];[ 4 11  2  6  1];40
[42 12 16 24 33];[17 13  6  9  9];86
[ 2  7 38 38 34];[12 19 15  8  8];54
[21 18 27 35 26];[ 6  7 19  8  6];75
[23  9 25 22  4];[ 1  1  4 19  1];70
[12  9 44 38  2];[19  4 12 17 13];46
[19 24 25 48 22];[ 6  6  8 18  5];80
[32 28 16 30  3];[19  5  8 18 15];42
[21  6 25  2 29];[17 15 11  7  3];42
[27 42 20 15 19];[13  1 14 13  3];46
[47 11 19 23 17];[ 3  1  8 14 12];89
[39 44 43 44 31];[12 13  9  1  3];20
[26 25 32 19 14];[11 10 10  8 10];40
[33  4 24 45 27];[18  3 13  3 11];56
[39 13  6 18  5];[ 5 17  2 11  2];36
[40 32 34  6 23];[ 7 15  5 18  9];84
[20 36 42 22 37];[16 12 18 17 17];77
[16 25  9  8 21];[14  7  1 19 13];80
[27 20 37  8 48];[19 16 16 17  6];34
[44 49  2 43  8];[19 17 11 16 19];39
[31 31  8 31 26];[ 2 17  6  6  5];83
[12 33 12 48  9];[12 10  3  5  3];42
[26  2  5 16 17];[19 17 18 15 14];43
[24 11 49  2 34];[12 19  5 13 17];63
[20 38  3  6 48];[12  5  8 10 19];67
[37 43 11 49 47];[18  2  7  1 18];29
[ 6 45 29  2 36];[ 9 15 12  4 17];56
[46  8 18 29  8];[ 7  7 16  7  8];76
[16 10 19 44 27];[ 2 18 17 19 12];58
[33  7 14  4 12];[11 19  1 16  1];27
